Model,Rank (by R²),R²,RMSE,MAE
Ridge Regression,1,0.9885797121693862,2.052403584467427,1.6414911273679176
Linear Regression,2,0.9885787462182553,2.052490380863169,1.6415847982520777
Polynomial Regression,3,0.9885787462182553,2.0524903808631687,1.6415847982520777
Gradient Boosting Regressor,4,0.9879583362036681,2.1074995392354015,1.683939298235971
Support Vector Regressor,5,0.9859614245200456,2.275546739349716,1.7952544259537138
Random Forest Regressor,6,0.9847236108991476,2.373747910224889,1.915251488848704
Lasso Regression,7,0.9805857628177921,2.6759895005772174,2.1457063323978365
K-Nearest Neighbors Regressor,8,0.9760270665107167,2.9736156230114412,2.3687088607594937
Decision Tree Regressor,9,0.974780359721717,3.04995676804112,2.4535864978902957
ElasticNet Regression,10,0.8620297590534619,7.133734648109028,5.925693454564463
