Model,R2,Train R2,Train R2 - Test R2,Fit time (s)
Ridge Regression,0.9885797121693862,0.9887048280125905,0.00012511584320429314,0.01
Linear Regression,0.9885787462182553,0.9887048441569478,0.0001260979386925598,0.01
Polynomial Regression,0.9885787462182553,0.9887048441569478,0.0001260979386925598,0.013
Gradient Boosting Regressor,0.9879583362036681,0.9887992093763982,0.0008408731727300722,0.263
Support Vector Regressor,0.9859614245200456,0.9861591295145078,0.0001977049944621445,1.208
Random Forest Regressor,0.9847236108991476,0.9974670467161063,0.012743435816958693,0.885
Lasso Regression,0.9805857628177921,0.9803659424235445,-0.00021982039424761624,0.014
K-Nearest Neighbors Regressor,0.9760270665107167,0.9839245026799247,0.007897436169208016,0.015
Decision Tree Regressor,0.974780359721717,0.9993133115245773,0.024532951802860303,0.025
ElasticNet Regression,0.8620297590534619,0.8602920065068197,-0.0017377525466422128,0.013
