Model,CV rank,CV R² (mean),CV R² (std),CV RMSE (mean),CV MAE (mean)
Linear Regression,1,0.9886757936488936,0.0004661552615269786,2.0430854376349314,1.620290772738792
Polynomial Regression,2,0.9886757936488936,0.0004661552615269786,2.0430854376349323,1.6202907727387923
Ridge Regression,3,0.9886757907708343,0.00046559435723170304,2.0430874367130487,1.6202909497961973
Gradient Boosting Regressor,4,0.9877291945748017,0.0006524141022716227,2.1264013537781175,1.6881441018671306
Support Vector Regressor,5,0.9849078227904361,6.185294085650961e-05,2.359286595329452,1.834328541003385
Random Forest Regressor,6,0.9848563858309628,0.0007004336925031474,2.362537575607269,1.8807919125109769
Lasso Regression,7,0.9803575835115653,0.0006604705087752133,2.691469494868722,2.1476420606917297
Decision Tree Regressor,8,0.9745554723504405,0.0008245319363581175,3.0628795508747553,2.426051151318866
K-Nearest Neighbors Regressor,9,0.9743766382612087,0.0009797070733123564,3.07362127759008,2.4533976799929453
ElasticNet Regression,10,0.8602142477120538,0.0016135998979082545,7.180433539339518,5.97271215207099
