Model,Test rank,R²,RMSE,MAE,Training R²,Fit time (s),CV R²,CV std
Ridge Regression,1,0.9885797121693862,2.052403584467427,1.6414911273679176,0.9887048280125905,0.01,0.9886757907708343,0.00046559435723170304
Linear Regression,2,0.9885787462182553,2.052490380863169,1.6415847982520777,0.9887048441569478,0.01,0.9886757936488936,0.0004661552615269786
Polynomial Regression,3,0.9885787462182553,2.0524903808631687,1.6415847982520777,0.9887048441569478,0.013,0.9886757936488936,0.0004661552615269786
Gradient Boosting Regressor,4,0.9879583362036681,2.1074995392354015,1.683939298235971,0.9887992093763982,0.263,0.9877291945748017,0.0006524141022716227
Support Vector Regressor,5,0.9859614245200456,2.275546739349716,1.7952544259537138,0.9861591295145078,1.208,0.9849078227904361,6.185294085650961e-05
Random Forest Regressor,6,0.9847236108991476,2.373747910224889,1.915251488848704,0.9974670467161063,0.885,0.9848563858309628,0.0007004336925031474
Lasso Regression,7,0.9805857628177921,2.6759895005772174,2.1457063323978365,0.9803659424235445,0.014,0.9803575835115653,0.0006604705087752133
K-Nearest Neighbors Regressor,8,0.9760270665107167,2.9736156230114412,2.3687088607594937,0.9839245026799247,0.015,0.9743766382612087,0.0009797070733123564
Decision Tree Regressor,9,0.974780359721717,3.04995676804112,2.4535864978902957,0.9993133115245773,0.025,0.9745554723504405,0.0008245319363581175
ElasticNet Regression,10,0.8620297590534619,7.133734648109028,5.925693454564463,0.8602920065068197,0.013,0.8602142477120538,0.0016135998979082545
